id,masterCategory,subCategory,articleType,,,,,,,
34009,Apparel,Topwear,Tops,,,,,,,
19311,Footwear,Shoes,Casual Shoes,,,,,,,
42089,Footwear,Shoes,Sports Shoes,,,,,,,
22950,Accessories,Watches,Watches,,,,,,,
49461,Footwear,Shoes,Casual Shoes,,,,,,,
8746,Footwear,Flip Flops,Flip Flops,,,,,,,
9694,Apparel,Topwear,Tshirts,,,,,,,
23882,Footwear,Shoes,Sports Shoes,,,,,,,
34835,Footwear,Shoes,Sports Shoes,,,,,,,
15984,Apparel,Topwear,Shirts,,,,,,,
41268,Accessories,Wallets,Wallets,,,,,,,
11518,Footwear,Shoes,Heels,,,,,,,
14856,Accessories,Wallets,Wallets,,,,,,,
33648,Footwear,Sandal,Sandals,,,,,,,
59297,Apparel,Topwear,Shirts,,,,,,,
28032,Apparel,Innerwear,Briefs,,,,,,,
27846,Apparel,Topwear,Blazers,,,,,,,
26994,Apparel,Bottomwear,Jeans,,,,,,,
49839,Footwear,Flip Flops,Flip Flops,,,,,,,
31923,Accessories,Bags,Handbags,,,,,,,
2618,Footwear,Shoes,Flats,,,,,,,
54588,Apparel,Topwear,Kurtas,,,,,,,
49005,Accessories,Jewellery,Ring,,,,,,,
8322,Apparel,Topwear,Tshirts,,,,,,,
13841,Accessories,Watches,Watches,,,,,,,
28200,Accessories,Eyewear,Sunglasses,,,,,,,
12993,Footwear,Shoes,Sports Shoes,,,,,,,
7158,Apparel,Topwear,Shirts,,,,,,,
18495,Footwear,Sandal,Sandals,,,,,,,
8110,Accessories,Watches,Watches,,,,,,,
19547,Apparel,Topwear,Sweatshirts,,,,,,,
7964,Apparel,Topwear,Tshirts,,,,,,,
36934,Personal Care,Fragrance,Perfume and Body Mist,,,,,,,
39140,Apparel,Apparel Set,Kurta Sets,,,,,,,
20851,Accessories,Bags,Clutches,,,,,,,
41866,Footwear,Sandal,Sandals,,,,,,,
58177,Accessories,Bags,Handbags,,,,,,,
44528,Footwear,Sandal,Sandals,,,,,,,
16392,Apparel,Topwear,Shirts,,,,,,,
51455,Apparel,Topwear,Shrug,,,,,,,
50587,Apparel,Innerwear,Briefs,,,,,,,
17240,Apparel,Topwear,Tshirts,,,,,,,
47530,Footwear,Shoes,Flats,,,,,,,
6617,Apparel,Topwear,Shirts,,,,,,,
12732,Accessories,Bags,Backpacks,,,,,,,
3365,Apparel,Topwear,Tshirts,,,,,,,
42042,Footwear,Shoes,Sports Shoes,,,,,,,
23849,Footwear,Shoes,Casual Shoes,,,,,,,
43190,Accessories,Watches,Watches,,,,,,,
48578,Accessories,Jewellery,Bracelet,,,,,,,
30462,Apparel,Innerwear,Bra,,,,,,,
18208,Accessories,Headwear,Caps,,,,,,,
54127,Footwear,Shoes,Heels,,,,,,,
10065,Apparel,Topwear,Tshirts,,,,,,,
24250,Footwear,Shoes,Casual Shoes,,,,,,,
32335,Accessories,Watches,Watches,,,,,,,
25382,Apparel,Innerwear,Innerwear Vests,,,,,,,
56670,Accessories,Watches,Watches,,,,,,,
5092,Apparel,Topwear,Tshirts,,,,,,,
10859,Apparel,Topwear,Tshirts,,,,,,,
59638,Apparel,Saree,Sarees,,,,,,,
15517,Footwear,Shoes,Casual Shoes,,,,,,,
4140,Footwear,Shoes,Casual Shoes,,,,,,,
36795,Accessories,Watches,Watches,,,,,,,
40527,Accessories,Watches,Watches,,,,,,,
10257,Apparel,Bottomwear,Trousers,,,,,,,
24062,Apparel,Topwear,Tshirts,,,,,,,
45869,Accessories,Watches,Watches,,,,,,,
11385,Apparel,Topwear,Sweatshirts,,,,,,,
53130,Footwear,Shoes,Flats,,,,,,,
44187,Personal Care,Fragrance,Perfume and Body Mist,,,,,,,
21510,Accessories,Bags,Handbags,,,,,,,
51667,Accessories,Eyewear,Sunglasses,,,,,,,
22395,Apparel,Topwear,Shirts,,,,,,,
35322,Accessories,Jewellery,Earrings,,,,,,,
6425,Footwear,Shoes,Casual Shoes,,,,,,,
18806,Accessories,Belts,Belts,,,,,,,
23247,Footwear,Shoes,Formal Shoes,,,,,,,
17072,Accessories,Belts,Belts,,,,,,,
31782,Apparel,Topwear,Tops,,,,,,,
42270,Footwear,Shoes,Casual Shoes,,,,,,,
12500,Apparel,Topwear,Shirts,,,,,,,
26735,Personal Care,Fragrance,Deodorant,,,,,,,
30650,Apparel,Topwear,Tshirts,,,,,,,
56026,Personal Care,Lips,Lipstick,,,,,,,
21948,Accessories,Bags,Handbags,,,,,,,
32563,Apparel,Bottomwear,Trousers,,,,,,,
58980,Personal Care,Fragrance,Deodorant,,,,,,,
40143,Apparel,Topwear,Tops,,,,,,,
10633,Footwear,Shoes,Formal Shoes,,,,,,,
24406,Apparel,Topwear,Kurtas,,,,,,,
4716,Accessories,Watches,Watches,,,,,,,
21174,Apparel,Topwear,Tops,,,,,,,
15341,Apparel,Bottomwear,Shorts,,,,,,,
52486,Apparel,Innerwear,Camisoles,,,,,,,
53554,Apparel,Innerwear,Boxers,,,,,,,
14293,Apparel,Topwear,Tshirts,,,,,,,
47366,Accessories,Bags,Handbags,,,,,,,
6041,Apparel,Topwear,Tshirts,,,,,,,
23623,Apparel,Topwear,Tops,,,,,,,
17416,Footwear,Shoes,Sports Shoes,,,,,,,
9835,Apparel,Topwear,Tshirts,,,,,,,
29319,Accessories,Bags,Backpacks,,,,,,,
7193,Apparel,Bottomwear,Jeans,,,,,,,
12958,Footwear,Shoes,Sports Shoes,,,,,,,
27283,Apparel,Topwear,Kurtas,,,,,,,
30234,Footwear,Flip Flops,Flip Flops,,,,,,,
9009,Accessories,Bags,Handbags,,,,,,,
3533,Apparel,Topwear,Tshirts,,,,,,,
42614,Accessories,Jewellery,Jewellery Set,,,,,,,
12164,Apparel,Topwear,Dupatta,,,,,,,
26351,Accessories,Watches,Watches,,,,,,,
17624,Apparel,Bottomwear,Track Pants,,,,,,,
47154,Apparel,Bottomwear,Capris,,,,,,,
35574,Footwear,Flip Flops,Flip Flops,,,,,,,
46086,Footwear,Shoes,Sports Shoes,,,,,,,
51031,Apparel,Innerwear,Bra,,,,,,,
13284,Apparel,Bottomwear,Shorts,,,,,,,
54543,Footwear,Shoes,Sports Shoes,,,,,,,
55491,Personal Care,Lips,Lip Gloss,,,,,,,
26163,Apparel,Bottomwear,Trousers,,,,,,,
3701,Apparel,Topwear,Tshirts,,,,,,,
29917,Accessories,Watches,Watches,,,,,,,
42426,Apparel,Topwear,Kurtas,,,,,,,
32751,Footwear,Shoes,Casual Shoes,,,,,,,
56214,Accessories,Jewellery,Earrings,,,,,,,
10401,Apparel,Topwear,Tops,,,,,,,
40371,Apparel,Bottomwear,Jeans,,,,,,,
21346,Accessories,Eyewear,Sunglasses,,,,,,,
45603,Footwear,Shoes,Formal Shoes,,,,,,,
4524,Footwear,Shoes,Sports Shoes,,,,,,,
37223,Apparel,Topwear,Tops,,,,,,,
53766,Apparel,Topwear,Tshirts,,,,,,,
25520,Apparel,Topwear,Tops,,,,,,,
32597,Apparel,Topwear,Tops,,,,,,,
58974,Personal Care,Fragrance,Deodorant,,,,,,,
33445,Accessories,Wallets,Wallets,,,,,,,
57100,Apparel,Topwear,Tops,,,,,,,
36137,Footwear,Shoes,Sports Shoes,,,,,,,
41859,Footwear,Sandal,Sandals,,,,,,,
21180,Footwear,Flip Flops,Flip Flops,,,,,,,
39943,Footwear,Shoes,Casual Shoes,,,,,,,
52472,Apparel,Loungewear and Nightwear,Bath Robe,,,,,,,
58148,Accessories,Headwear,Caps,,,,,,,
20052,Accessories,Mufflers,Mufflers,,,,,,,
5630,Footwear,Flip Flops,Flip Flops,,,,,,,
44517,Footwear,Flip Flops,Flip Flops,,,,,,,
47392,Accessories,Bags,Handbags,,,,,,,
50325,Apparel,Topwear,Kurtas,,,,,,,
8913,Footwear,Shoes,Sports Shoes,,,,,,,
16530,Apparel,Topwear,Shirts,,,,,,,
22705,Footwear,Shoes,Casual Shoes,,,,,,,
7167,Apparel,Topwear,Shirts,,,,,,,
46240,Apparel,Topwear,Tunics,,,,,,,
27277,Apparel,Topwear,Kurtas,,,,,,,
13042,Footwear,Shoes,Flats,,,,,,,
6889,Apparel,Topwear,Jackets,,,,,,,
31312,Apparel,Topwear,Kurtas,,,,,,,
12190,Apparel,Topwear,Shirts,,,,,,,
55657,Footwear,Shoes,Heels,,,,,,,
19578,Apparel,Topwear,Tops,,,,,,,
27879,Apparel,Topwear,Tops,,,,,,,
34452,Footwear,Shoes,Flats,,,,,,,
6287,Apparel,Topwear,Tshirts,,,,,,,
7355,Apparel,Topwear,Tshirts,,,,,,,
46072,Accessories,Belts,Belts,,,,,,,
22537,Footwear,Sandal,Sandals,,,,,,,
28831,Apparel,Innerwear,Briefs,,,,,,,
43500,Apparel,Topwear,Tshirts,,,,,,,
2627,Footwear,Shoes,Flats,,,,,,,
27045,Accessories,Bags,Clutches,,,,,,,
13270,Apparel,Topwear,Tops,,,,,,,
18698,Apparel,Innerwear,Briefs,,,,,,,
55465,Personal Care,Lips,Lipstick,,,,,,,
26197,Personal Care,Fragrance,Perfume and Body Mist,,,,,,,
31120,Apparel,Topwear,Tops,,,,,,,
25712,Accessories,Headwear,Caps,,,,,,,
11527,Apparel,Topwear,Tshirts,,,,,,,
14869,Accessories,Wallets,Wallets,,,,,,,
40385,Apparel,Topwear,Tops,,,,,,,
15187,Apparel,Topwear,Tshirts,,,,,,,
5402,Footwear,Shoes,Sports Shoes,,,,,,,
44725,Footwear,Flip Flops,Flip Flops,,,,,,,
14055,Apparel,Topwear,Shirts,,,,,,,
20260,Apparel,Topwear,Tshirts,,,,,,,
7731,Footwear,Flip Flops,Flip Flops,,,,,,,
22153,Footwear,Sandal,Sandals,,,,,,,
43958,Footwear,Sandal,Sandals,,,,,,,
28469,Apparel,Topwear,Tshirts,,,,,,,
50573,Apparel,Innerwear,Trunk,,,,,,,
34036,Apparel,Topwear,Shirts,,,,,,,
55001,Personal Care,Lips,Lipstick,,,,,,,
8779,Apparel,Topwear,Shirts,,,,,,,
3391,Accessories,Bags,Handbags,,,,,,,
43164,Accessories,Watches,Watches,,,,,,,
2243,Apparel,Topwear,Tshirts,,,,,,,
30496,Apparel,Innerwear,Bra,,,,,,,
27421,Apparel,Loungewear and Nightwear,Lounge Pants,,,,,,,
57756,Personal Care,Skin Care,Face Wash and Cleanser,,,,,,,
33213,Apparel,Topwear,Tops,,,,,,,
39729,Apparel,Topwear,Tops,,,,,,,
25376,Apparel,Innerwear,Innerwear Vests,,,,,,,
11143,Apparel,Topwear,Shirts,,,,,,,
56684,Apparel,Saree,Sarees,,,,,,,
4988,Apparel,Dress,Dresses,,,,,,,
44341,Apparel,Topwear,Tshirts,,,,,,,
14431,Footwear,Shoes,Heels,,,,,,,
20604,Accessories,Bags,Handbags,,,,,,,
52224,Accessories,Jewellery,Necklace and Chains,,,,,,,
45293,Accessories,Watches,Watches,,,,,,,
36761,Accessories,Watches,Watches,,,,,,,
33021,Apparel,Topwear,Kurtas,,,,,,,
25144,Accessories,Bags,Handbags,,,,,,,
11371,Apparel,Topwear,Shirts,,,,,,,
41401,Apparel,Topwear,Tops,,,,,,,
14603,Accessories,Socks,Socks,,,,,,,
37481,Accessories,Watches,Watches,,,,,,,
5254,Accessories,Bags,Duffel Bag,,,,,,,
44173,Personal Care,Fragrance,Perfume and Body Mist,,,,,,,
25978,Personal Care,Fragrance,Perfume and Body Mist,,,,,,,
4386,Apparel,Topwear,Tshirts,,,,,,,
51693,Accessories,Eyewear,Sunglasses,,,,,,,
16154,Footwear,Shoes,Formal Shoes,,,,,,,
22361,Footwear,Sandal,Sports Sandals,,,,,,,
29789,Apparel,Topwear,Tshirts,,,,,,,
19920,Accessories,Bags,Backpacks,,,,,,,
7503,Apparel,Topwear,Tshirts,,,,,,,
46624,Personal Care,Fragrance,Deodorant,,,,,,,
34204,Apparel,Bottomwear,Track Pants,,,,,,,
17086,Accessories,Wallets,Wallets,,,,,,,
50741,Footwear,Shoes,Casual Shoes,,,,,,,
55233,Personal Care,Makeup,Foundation and Primer,,,,,,,
13426,Apparel,Topwear,Tshirts,,,,,,,
43356,Footwear,Shoes,Sports Shoes,,,,,,,
28207,Accessories,Eyewear,Sunglasses,,,,,,,
13846,Apparel,Topwear,Shirts,,,,,,,
12994,Footwear,Shoes,Sports Shoes,,,,,,,
46278,Apparel,Topwear,Tunics,,,,,,,
16508,Apparel,Bottomwear,Jeans,,,,,,,
18492,Footwear,Flip Flops,Flip Flops,,,,,,,
19540,Apparel,Topwear,Sweaters,,,,,,,
7963,Apparel,Topwear,Tshirts,,,,,,,
8117,Accessories,Watches,Watches,,,,,,,
49230,Accessories,Socks,Socks,,,,,,,
39147,Apparel,Apparel Set,Kurta Sets,,,,,,,
36933,Personal Care,Fragrance,Perfume and Body Mist,,,,,,,
57138,Apparel,Bottomwear,Trousers,,,,,,,
20856,Footwear,Shoes,Casual Shoes,,,,,,,
41861,Footwear,Sandal,Sandals,,,,,,,
5608,Footwear,Sandal,Sandals,,,,,,,
58170,Accessories,Bags,Clutches,,,,,,,
53598,Free Items,Free Gifts,Free Gifts,,,,,,,
15983,Apparel,Topwear,Shirts,,,,,,,
39375,Accessories,Watches,Watches,,,,,,,
14851,Accessories,Wallets,Wallets,,,,,,,
59290,Accessories,Watches,Watches,,,,,,,
52678,Accessories,Watches,Watches,,,,,,,
20258,Apparel,Topwear,Tshirts,,,,,,,
47198,Footwear,Sandal,Sandals,,,,,,,
27841,Accessories,Belts,Belts,,,,,,,
28035,Apparel,Innerwear,Briefs,,,,,,,
31924,Accessories,Bags,Handbags,,,,,,,
26993,Apparel,Bottomwear,Jeans,,,,,,,
13248,Apparel,Bottomwear,Trousers,,,,,,,
43538,Apparel,Topwear,Tops,,,,,,,
8325,Apparel,Topwear,Tshirts,,,,,,,
31118,Apparel,Topwear,Tops,,,,,,,
19772,Footwear,Shoes,Casual Shoes,,,,,,,
46876,Accessories,Socks,Socks,,,,,,,
5862,Apparel,Topwear,Tshirts,,,,,,,
39711,Accessories,Watches,Watches,,,,,,,
14409,Footwear,Shoes,Heels,,,,,,,
58726,Apparel,Topwear,Tshirts,,,,,,,
44379,Personal Care,Fragrance,Perfume and Body Mist,,,,,,,
11947,Footwear,Sandal,Sandals,,,,,,,
36759,Accessories,Watches,Watches,,,,,,,
51499,Apparel,Bottomwear,Jeans,,,,,,,
29583,Footwear,Shoes,Flats,,,,,,,
55805,Apparel,Loungewear and Nightwear,Night suits,,,,,,,
7709,Apparel,Bottomwear,Jeans,,,,,,,
28451,Apparel,Bottomwear,Track Pants,,,,,,,
43960,Apparel,Topwear,Shirts,,,,,,,
8741,Apparel,Topwear,Shirts,,,,,,,
55039,Personal Care,Lips,Lipstick,,,,,,,
19316,Accessories,Bags,Backpacks,,,,,,,
27419,Apparel,Loungewear and Nightwear,Lounge Pants,,,,,,,
34832,Footwear,Shoes,Sports Shoes,,,,,,,
23885,Footwear,Shoes,Sports Shoes,,,,,,,
19918,Accessories,Bags,Backpacks,,,,,,,
22359,Apparel,Topwear,Shirts,,,,,,,
19124,Footwear,Flip Flops,Flip Flops,,,,,,,
16950,Accessories,Eyewear,Sunglasses,,,,,,,
49654,Apparel,Bottomwear,Skirts,,,,,,,
48786,Accessories,Jewellery,Pendant,,,,,,,
2049,Apparel,Topwear,Tshirts,,,,,,,
17882,Apparel,Innerwear,Innerwear Vests,,,,,,,
44977,Accessories,Watches,Watches,,,,,,,
33019,Apparel,Topwear,Kurtas,,,,,,,
41439,Footwear,Shoes,Sports Shoes,,,,,,,
39523,Accessories,Bags,Trolley Bag,,,,,,,
52812,Accessories,Wallets,Wallets,,,,,,,
11349,Apparel,Bottomwear,Jeans,,,,,,,
24892,Apparel,Topwear,Tshirts,,,,,,,
58514,Apparel,Topwear,Tops,,,,,,,
33825,Footwear,Shoes,Sports Shoes,,,,,,,
25940,Accessories,Scarves,Scarves,,,,,,,
38637,Apparel,Topwear,Tshirts,,,,,,,
5896,Footwear,Shoes,Casual Shoes,,,,,,,
4944,Apparel,Topwear,Shirts,,,,,,,
10861,Apparel,Topwear,Tshirts,,,,,,,
59600,Apparel,Saree,Sarees,,,,,,,
42846,Accessories,Bags,Handbags,,,,,,,
35128,Accessories,Jewellery,Bracelet,,,,,,,
47508,Apparel,Innerwear,Briefs,,,,,,,
54923,Apparel,Bottomwear,Capris,,,,,,,
43994,Personal Care,Fragrance,Deodorant,,,,,,,
17278,Apparel,Topwear,Tshirts,,,,,,,
31588,Apparel,Topwear,Tshirts,,,,,,,
49492,Footwear,Shoes,Casual Shoes,,,,,,,
18230,Apparel,Topwear,Tshirts,,,,,,,
23871,Apparel,Topwear,Tshirts,,,,,,,
9667,Apparel,Topwear,Shirts,,,,,,,
16198,Apparel,Bottomwear,Tracksuits,,,,,,,
3953,Apparel,Topwear,Tshirts,,,,,,,
29745,Accessories,Watches,Watches,,,,,,,
28697,Apparel,Topwear,Kurtas,,,,,,,
12538,Apparel,Bottomwear,Track Pants,,,,,,,
8587,Apparel,Topwear,Shirts,,,,,,,
42248,Apparel,Topwear,Tops,,,,,,,
48772,Accessories,Jewellery,Pendant,,,,,,,
17876,Apparel,Innerwear,Innerwear Vests,,,,,,,
30668,Accessories,Eyewear,Sunglasses,,,,,,,
9455,Apparel,Topwear,Shirts,,,,,,,
18002,Apparel,Bottomwear,Capris,,,,,,,
44983,Accessories,Watches,Watches,,,,,,,
38405,Accessories,Belts,Belts,,,,,,,
53934,Accessories,Bags,Handbags,,,,,,,
1638,Apparel,Bottomwear,Swimwear,,,,,,,
25188,Accessories,Bags,Handbags,,,,,,,
24866,Accessories,Belts,Belts,,,,,,,
53108,Accessories,Jewellery,Earrings,,,,,,,
21528,Accessories,Bags,Handbags,,,,,,,
59432,Accessories,Bags,Handbags,,,,,,,
32903,Apparel,Bottomwear,Shorts,,,,,,,
6079,Apparel,Topwear,Tshirts,,,,,,,
12960,Footwear,Shoes,Sports Shoes,,,,,,,
29321,Apparel,Topwear,Tshirts,,,,,,,
9031,Footwear,Shoes,Casual Shoes,,,,,,,
6845,Accessories,Shoe Accessories,Shoe Laces,,,,,,,
18466,Personal Care,Fragrance,Perfume and Body Mist,,,,,,,
26369,Apparel,Topwear,Shirts,,,,,,,
33489,Apparel,Topwear,Shirts,,,,,,,
59056,Footwear,Shoes,Casual Shoes,,,,,,,
15379,Footwear,Shoes,Casual Shoes,,,,,,,
45409,Footwear,Shoes,Flats,,,,,,,
56822,Apparel,Bottomwear,Trousers,,,,,,,
58184,Accessories,Bags,Handbags,,,,,,,
40947,Apparel,Topwear,Tshirts,,,,,,,
39381,Apparel,Bottomwear,Jeans,,,,,,,
15977,Apparel,Topwear,Shirts,,,,,,,
32769,Apparel,Topwear,Tshirts,,,,,,,
10439,Apparel,Topwear,Tshirts,,,,,,,
59264,Accessories,Watches,Watches,,,,,,,
14099,Apparel,Topwear,Tops,,,,,,,
1852,Apparel,Topwear,Tshirts,,,,,,,
30802,Apparel,Topwear,Shirts,,,,,,,
51009,Apparel,Innerwear,Bra,,,,,,,
29113,Accessories,Socks,Socks,,,,,,,
7399,Footwear,Shoes,Formal Shoes,,,,,,,
26967,Apparel,Topwear,Tops,,,,,,,
27089,Apparel,Topwear,Kurtas,,,,,,,
48124,Accessories,Belts,Belts,,,,,,,
9203,Footwear,Shoes,Sports Shoes,,,,,,,
51835,Apparel,Innerwear,Briefs,,,,,,,
3739,Accessories,Headwear,Caps,,,,,,,
19786,Apparel,Topwear,Tshirts,,,,,,,
44948,Footwear,Shoes,Sports Shoes,,,,,,,
24091,Apparel,Topwear,Tshirts,,,,,,,
57563,Personal Care,Lips,Lipstick,,,,,,,
33026,Apparel,Topwear,Kurtas,,,,,,,
41406,Apparel,Topwear,Tshirts,,,,,,,
11376,Apparel,Topwear,Tops,,,,,,,
25143,Accessories,Bags,Clutches,,,,,,,
44174,Personal Care,Fragrance,Fragrance Gift Set,,,,,,,
5253,Accessories,Bags,Duffel Bag,,,,,,,
20431,Accessories,Wallets,Wallets,,,,,,,
14604,Accessories,Socks,Socks,,,,,,,
4381,Apparel,Topwear,Tshirts,,,,,,,
46623,Accessories,Bags,Backpacks,,,,,,,
19927,Footwear,Sandal,Sandals,,,,,,,
7504,Apparel,Topwear,Tshirts,,,,,,,
22366,Apparel,Topwear,Tshirts,,,,,,,
3998,Footwear,Flip Flops,Flip Flops,,,,,,,
51694,Accessories,Eyewear,Sunglasses,,,,,,,
16153,Footwear,Shoes,Formal Shoes,,,,,,,
17081,Accessories,Wallets,Wallets,,,,,,,
50746,Footwear,Shoes,Formal Shoes,,,,,,,
34203,Apparel,Bottomwear,Track Pants,,,,,,,
55234,Personal Care,Makeup,Foundation and Primer,,,,,,,
13421,Apparel,Topwear,Tshirts,,,,,,,
27614,Apparel,Bottomwear,Trousers,,,,,,,
22154,Footwear,Shoes,Formal Shoes,,,,,,,
16361,Apparel,Topwear,Shirts,,,,,,,
46411,Apparel,Topwear,Sweatshirts,,,,,,,
7736,Accessories,Headwear,Caps,,,,,,,
34031,Apparel,Topwear,Shirts,,,,,,,
50574,Apparel,Innerwear,Trunk,,,,,,,
22968,Accessories,Bags,Backpacks,,,,,,,
3396,Accessories,Bags,Handbags,,,,,,,
31543,Apparel,Topwear,Tshirts,,,,,,,
55006,Personal Care,Lips,Lip Gloss,,,,,,,
19329,Footwear,Shoes,Casual Shoes,,,,,,,
13613,Apparel,Innerwear,Innerwear Vests,,,,,,,
27426,Apparel,Bottomwear,Shorts,,,,,,,
2244,Apparel,Topwear,Tshirts,,,,,,,
43163,Accessories,Watches,Watches,,,,,,,
33214,Apparel,Topwear,Tunics,,,,,,,
10096,Footwear,Shoes,Sports Shoes,,,,,,,
11144,Apparel,Topwear,Shirts,,,,,,,
25371,Apparel,Innerwear,Innerwear Vests,,,,,,,
20603,Accessories,Bags,Handbags,,,,,,,
58719,Apparel,Topwear,Kurtas,,,,,,,
11978,Footwear,Sandal,Sandals,,,,,,,
36766,Accessories,Watches,Watches,,,,,,,
45294,Accessories,Watches,Watches,,,,,,,
52223,Accessories,Jewellery,Necklace and Chains,,,,,,,
34455,Footwear,Shoes,Heels,,,,,,,
6280,Apparel,Topwear,Tshirts,,,,,,,
46075,Accessories,Belts,Belts,,,,,,,
35587,Footwear,Sandal,Sandals,,,,,,,
7352,Apparel,Topwear,Tshirts,,,,,,,
27042,Accessories,Bags,Clutches,,,,,,,
2620,Apparel,Topwear,Tshirts,,,,,,,
43507,Apparel,Topwear,Tshirts,,,,,,,
